CSC Assignments
PeopleSoft Number,A1,A2,A3,A4,A5,A6,A7,A9,A10
,100,100,100,100,100,100,100,100,100
1212393,100,100,100,100,97,85,29,70,100
1261168,100,98,90,48,81,81,18,0,0
1338826,100,43,15,0,68,18,23,56,0
1401762,0,0,0,0,44,100,2,0,0
1418638,0,0,0,0,0,0,0,0,0
1440606,10,0,54,26,80,20,61,74,15
1451426,80,90,90,72,44,81,100,51,90
1461598,70,0,0,0,55,70,65,73,10
1482290,100,72,60,43,0,0,0,0,0
1487095,0,0,60,21,78,81,100,74,85
1504677,100,91,100,57,70,100,90,75,0
1507118,100,74,79,84,0,0,0,0,0
1507406,100,38,75,74,90,81,100,40,5
1507469,100,85,100,31,0,100,0,0,0
1508476,100,100,100,96,88,50,96,0,0
1511703,100,88,50,40,76,85,60,100,77
1513004,65,70,100,99,68,100,48,0,0
1513683,50,0,0,0,0,0,0,0,0
1515212,100,100,75,65,93,85,96,83,90
1515929,70,27,70,87,0,81,48,0,59
1518493,100,91,100,76,0,83,60,0,95
1519896,90,76,90,0,0,0,0,0,0
1521118,85,58,95,0,31,100,70,50,98
1521952,90,30,0,0,0,0,0,0,5
1522873,80,67,40,83,48,96,76,72,52
1522954,100,100,85,26,70,50,0,0,0
1537529,90,76,50,0,0,90,100,98,83
1538088,100,100,100,100,84,100,100,60,0
1538570,100,100,100,100,94,100,100,0,27
1539501,100,87,70,44,55,62,0,0,0
1539540,100,45,20,0,0,0,0,0,0
1542303,100,76,85,62,55,50,100,0,92
1543876,100,0,0,0,0,88,100,95,96
1551318,0,0,0,0,0,0,0,0,0
1553284,100,100,100,100,100,77,79,0,0
1553551,100,100,100,68,73,50,79,64,16
1554643,100,100,100,94,89,95,96,87,95
1559646,0,0,0,0,0,0,0,0,0
1560044,0,5,70,51,63,0,4,0,0
1560119,0,0,45,31,0,95,80,0,100
1560971,100,100,100,21,95,68,49,85,0
1561153,65,46,65,31,47,83,29,65,0
1562842,80,100,100,100,49,100,100,0,0
1567265,0,35,0,0,0,0,0,0,0
1567864,0,0,0,0,0,0,0,0,0
1581486,95,0,50,0,68,50,90,0,0
1581834,100,91,100,59,70,50,28,0,0
1582585,90,0,0,0,0,40,75,0,0
1583053,65,83,70,0,83,40,70,85,0
1583408,0,0,0,0,0,0,0,0,0
1584012,70,84,30,56,59,24,90,88,45
1584185,100,56,85,85,61,78,33,100,7
1585571,100,52,90,89,68,45,0,0,0
1585592,0,0,0,94,70,90,90,0,0
1585689,100,72,95,0,70,50,65,95,0
1586487,0,0,0,0,0,0,0,0,0
1587179,100,100,100,95,86,100,24,95,0
1587474,100,100,100,50,81,50,100,0,0
1587867,100,84,80,100,91,92,100,45,15
1587930,100,100,100,98,95,100,70,0,0
1590593,75,100,100,96,91,100,100,90,0
1590989,100,76,100,71,90,73,79,0,0
1591228,0,0,0,0,0,0,0,0,0
1591807,100,31,75,73,56,80,100,0,70
