CSC Averages
PeopleSoft Number,Prac Assignment Average,Quiz Average,Prac Test Average,Practical Average
,100,100,100,100
1212393,94,92.5,65,81.5
1261168,64.5,64.68,75,68.805
1338826,40.375,41.49,0,24.89375
1401762,18.25,19.2,15,17.5225
1418638,0,0.733,0,0.44
1440606,42.5,42.18,77.5,56.305
1451426,81.75,80.53,82.5,81.3175
1461598,42.875,41.53,30,36.91875
1482290,34.375,35.26,77.5,52.15375
1487095,62.375,60.06,50,56.03375
1504677,85.375,83.51,72.5,79.10375
1507118,42.125,43.35,83.5,59.41125
1507406,74.75,73.21,27.5,54.9275
1507469,52,50.73,87.5,65.44
1508476,78.75,77.88,80,78.7275
1511703,79.5,77.06,35,60.235
1513004,68.75,66.11,65,65.6675
1513683,6.25,6.938,37.5,19.1625
1515212,90.25,88.74,45,71.2425
1515929,55.25,54.35,87.5,67.6125
1518493,75.625,74.91,90,80.94625
1519896,32,31.13,35,32.68
1521118,73.375,72.04,25,53.22375
1521952,15.625,16.18,60,33.70625
1522873,71.75,70.63,12.5,47.3775
1522954,53.875,53.91,85,66.34875
1537529,73.375,72.84,54,65.30375
1538088,93,92.02,87.5,90.21
1538570,90.125,88.75,100,93.25125
1539501,52.25,52.77,65,57.6625
1539540,20.625,23.39,35,28.03625
1542303,77.5,77.43,55,68.455
1543876,59.875,57.68,45,52.60875
1551318,0,0.8,0,0.48
1553284,82,81.43,87.5,83.86
1553551,79.25,78.55,30,59.1325
1554643,96.125,95.05,40,73.03125
1559646,0,3.4,8.5,5.44
1560044,24.125,24.72,80,46.83125
1560119,43.875,44.21,75,56.52875
1560971,77.25,76.59,92.5,82.9525
1561153,53.875,54.58,73.5,62.14875
1562842,78.625,78.29,85,80.97625
1567265,4.375,4.956,0,2.97375
1567864,0,0.467,87.5,35.28
1581486,44.125,44.79,100,66.87125
1581834,62.25,62.67,85,71.6025
1582585,25.625,27.74,34,30.24625
1583053,62,61.7,52.5,58.02
1583408,0,0.8,0,0.48
1584012,65.25,65.59,80,71.3525
1584185,74.75,73.75,75,74.2475
1585571,55.5,54.33,50,52.595
1585592,43,41.85,15,31.11
1585689,68.375,67.29,75,70.37375
1586487,0,2.533,27.5,12.52
1587179,87.5,85.46,100,91.275
1587474,72.625,72.73,65,69.63625
1587867,86.5,84.91,20,58.945
1587930,82.875,81.8,100,89.07875
1590593,94,92.63,27.5,66.58
1590989,73.625,72.88,20,51.72625
1591228,0,0,0,0
1591807,73.125,72.07,77.5,74.24125
1592563,66.25,65.2,40,55.1225
1593035,0,0,0,0
1593724,35.375,35.34,0,21.20375
1595458,12.5,12.94,0,7.765
1595531,58.75,59.75,37.5,50.8475
1596316,0,0,0,0
1596529,60.625,60.46,81.5,68.87625
1597559,61.125,60.67,47.5,55.40125
1599343,54.375,53.92,85,66.35375
1601210,74.625,73.63,100,84.17625
1602135,11.875,12.88,30,19.72875
1602529,97.625,96.68,90,94.00625
1604638,88.75,87.71,80,84.6275
1605463,51.875,51.68,100,71.00875
1606980,39.375,37.41,30,34.44375
1608156,40.875,41.03,35,38.61875
1608492,31.625,32.58,97.5,58.54625
1608822,55.625,56.04,87.5,68.62625
1610225,99.125,97.17,95,96.30125
1612767,0,1.267,0,0.76
1613386,60.25,58.57,100,75.1425
1613772,44.75,44.78,67.5,53.8675
1615188,98.75,98.01,100,98.8075
1615929,64.125,63.19,35,51.91125
1616387,51.875,52.81,75,61.68875
1616832,16,18.07,65,36.84
1616888,57.75,57.8,81,67.0775
1617552,80.25,79.04,77.5,78.4225
1617755,32.125,32.72,67.5,46.63125
1618636,91,89.32,40,69.59
1632659,92.5,91.28,64.5,80.565
1632775,69.125,69.14,85,75.48125
1633087,70.625,70.03,75,72.01625
1633273,0,0,0,0
1633328,79.25,78.15,27.5,57.8925
1633456,62.75,62.21,25,47.3275
1633740,70.5,69.44,47.5,60.665
1633741,98.375,97.79,85,92.67375
1633841,78.625,77.43,31,58.85625
1633879,63.25,63.69,90,74.2125
1634080,79.375,79.41,75,77.64375
1634997,60.25,60.24,83.5,69.5425
1635029,0,0.8,0,0.48
1635037,93.375,91.97,75,85.18375
1635206,37,38.15,35,36.89
1635461,85.375,83.91,55,72.34375
1635468,34.25,33.34,20,28.0025
1635618,53.25,53.19,92.5,68.9125
1635914,8.75,10.91,17.5,13.5475
1636341,44,44.6,32.5,39.76
1636482,48.375,48.82,52.5,50.29375
1636544,40.125,41.12,95,62.67125
1636833,66.25,65.4,85,73.2425
1637291,62.125,61.95,60,61.17125
1637597,59.375,60.21,60,60.12375
1637649,70.75,70.28,37.5,57.1675
1637903,80.5,78.94,100,87.365
1638374,97.5,96.09,100,97.655
1638446,92.875,90.23,100,94.13875
1638489,52.75,53.11,50,51.8675
1638626,91.125,88.7,40,69.22125
1638832,54.25,54.47,75,62.6825
1638974,55.125,54.5,100,72.70125
1639601,83.5,82.13,100,89.275
1640427,90.625,88.69,67.5,80.21625
1640539,61.125,59.07,55,57.44125
1640634,68.625,68.33,85,74.99625
1640726,78.125,77.02,85,80.21125
1641606,66.375,66.39,55,61.83375
1641841,59.5,58.59,25,45.155
1641947,30.625,31.76,60,43.05625
1642033,96.125,94.99,100,96.99125
1642093,99.375,99.41,100,99.64375
1642413,3.875,5.415,15,9.24875
1642556,92.625,91.33,91.5,91.39625
1642780,63.375,62.87,37.5,52.72375
1643046,0,0,0,0
1643217,36.5,36.28,100,61.765
1643487,55.125,55.17,100,73.10125
1643769,96.125,94.79,72.5,85.87125
1643852,45.875,45.85,0,27.50875
1644378,24.125,26.32,60,39.79125
1644816,56.125,55.45,0,33.27125
1645089,16.375,18.16,25,20.89375
1645144,62.25,62.34,52.5,58.4025
1645562,56.125,55.39,35,47.23125
1646322,82.75,81.48,75,78.8875
1646505,80.75,79.91,32.5,60.9475
1646730,38.5,37.78,50,42.665
1646746,52.375,52.22,77.5,62.33375
1646880,83.25,82.42,70,77.4525
1647028,91.5,89.79,100,93.875
1647497,87.25,87.22,70,80.3325
1647863,56.625,56.86,40,50.11625
1648009,18.125,18.22,56.5,33.53125
1648901,89.125,88.07,85,86.84125
1649022,66.75,66.68,75,70.0075
1649093,62.5,63.24,77.5,68.945
1649154,92.5,90.08,100,94.045
1649269,27.5,28.13,0,16.875
1649696,83.5,82.66,32.5,62.595
1649837,33,34.55,32.5,33.73
1650811,97.625,96.34,87.5,92.80625
1650850,41,41.95,42,41.97
1650915,95.25,92.82,60,79.6925
1651191,73.125,72.87,68.5,71.12125
1651532,47.5,48.33,100,68.995
1651780,0,0,0,0
1652135,77.25,75.99,37.5,60.5925
1652214,58.875,58.8,71,63.67875
1652231,86.75,85.35,75,81.2075
1652356,43.875,43.95,69,53.96875
1654400,74.5,73.84,67.5,71.305
1654418,86,83.83,45,68.3
1654547,26.25,28.27,100,56.9625
1654734,67.75,67.3,62.5,65.3775
1655124,76.625,75.66,70,73.39625
1655334,0,2.133,0,1.28
1655407,84.375,83.69,65,76.21375
1656591,31.875,33.15,100,59.88875
1656696,80.125,79.32,62.5,72.59125
1656707,53.625,54.61,55,54.76625
1656925,60.5,57.74,50,54.645
1657048,53.25,52.12,55,53.2725
1657058,82.625,80.16,55,70.09625
1657135,76.875,75.63,46.5,63.97875
1657562,92,90.13,75,84.08
1657678,93,91.75,85,89.05
1658386,74.875,74.53,27.5,55.71875
1658433,73.375,72.24,55,65.34375
1658592,69.75,69.6,90,77.7575
1658963,70,68.5,62.5,66.1
1659880,56,54.4,25,42.64
1660590,69.75,69.53,70,69.7175
1661139,35.25,34.29,50,40.5725
1661331,53.75,53.93,67.5,59.3575
1661373,92.75,91.91,95,93.1475
1662166,6.625,7.96,0,4.77625
1662240,68.75,68.11,42.5,57.8675
1662364,6.25,7.938,25,14.7625
1662676,91,89.98,87.5,88.99
1662879,83.75,82.7,50,69.6175
1662904,67,66.65,72.5,68.99
1663196,22.875,22.2,0,13.31875
1663601,96.125,95.05,67.5,84.03125
1663700,90,89.37,77.5,84.62
1664262,48.125,48.59,12.5,34.15125
1664731,88,86.13,32.5,64.68
1664923,50.375,50.86,35,44.51375
1664929,66.625,65.83,85,73.49625
1664944,79.75,78.9,68.5,74.7375
1665117,99,97.98,85,92.79
1665131,96.625,96.06,100,97.63625
1665843,7.5,8.592,32.5,18.155
1666440,56.75,57.98,75,64.7875
1666669,39.75,40.1,47.5,43.0575
1667778,61.625,61.54,72.5,65.92625
1668083,76.125,75.92,35,59.55125
1668107,81.125,79.4,51,68.04125
1668136,58.125,58.55,72.5,64.13125
1668418,69.375,68.57,73.5,70.54375
1669575,96.375,94.09,75,86.45375
1669948,93.875,93.45,65,82.06875
1669971,95.5,94.13,100,96.475
1670006,85.875,84.78,45,68.86875
1670686,49.375,49.44,40,45.66375
1670925,99,97.98,100,98.79
1671111,75.875,74.81,70,72.88875
1671412,0,0.8,0,0.48
1671946,0,0,0,0
1673082,74.875,73.86,66.5,70.91875
1673213,80,77.67,25,56.6
1673310,76.25,76.64,100,85.9825
1675037,74.75,75.08,100,85.0475
1675098,89,87.82,45,70.69
1678599,40.75,42.11,85,59.2675
1682017,40.625,39.73,0,23.83625
1684715,78.375,77.12,30,58.27375
1684787,71,68.65,100,81.19
1684796,94.25,93.74,100,96.2425
1684805,100,100,100,100
1684806,76.5,74.94,70,72.965
1684833,97.75,96.66,75,87.9975
1684876,63.25,62.62,30,49.5725
1684890,57.625,57.88,60,58.72625
1684900,54.5,54.64,57.5,55.785
1684918,89.875,88.65,94,90.78875
1684953,100,98.27,100,98.96
1685012,92.75,91.85,100,95.1075
1685036,98.125,96.15,100,97.69125
1685109,82.5,82.18,60,73.305
1685184,77.5,76.36,67.5,72.815
1685239,56.5,54.08,20,40.445
1685240,72.375,71.69,87.5,78.01375
1685403,80.25,78.24,50,66.9425
1685642,95.875,94.55,100,96.72875
1685822,70.75,70.81,75,72.4875
1685842,69.25,68.65,87.5,76.1925
1685860,58.75,59.15,37.5,50.4875
1685873,67.625,68.24,90,76.94625
1685875,41.25,41.39,25,34.8325
1685884,98.125,95.42,95,95.25125
1685927,63.375,62.47,65,63.48375
1685934,69,68.15,75,70.89
1686488,91.875,91.48,100,94.88875
1686497,91.5,89.86,55,75.915
1686716,83.875,83.41,100,90.04875
1686852,10.75,11.35,0,6.8075
1686857,58.75,58.61,20,43.1675
1686900,86.375,85.92,100,91.55375
1686924,100,99.6,100,99.76
1687024,92.25,90.64,100,94.3825
1687047,83.75,82.36,52.5,70.4175
1687175,96.875,95.56,82.5,90.33875
1687199,83,82.05,100,89.23
1687209,81.875,81.18,90,84.70875
1687248,98.25,97.2,100,98.3225
1687355,0,0.2,0,0.12
1687409,83.75,82.96,100,89.7775
1687473,91,90.92,100,94.55
1687483,90.875,88.6,70,81.15875
1687497,73.25,70.25,100,82.1525
1687539,97.75,96.86,100,98.1175
1687635,73.625,73.68,100,84.20625
1687656,91.875,90.35,80,86.20875
1687714,99.5,97.66,94,96.195
1687884,66.5,65.84,55,61.505
1687927,54.25,53.8,67.5,59.2825
1687952,99.875,98.75,100,99.24875
1688027,96.375,95.96,100,97.57375
1688058,98.125,96.29,100,97.77125
1688096,92.875,92.16,100,95.29875
1688167,95.25,93.55,95,94.1325
1688180,87.625,87.91,100,92.74625
1688204,68.75,68.05,55,62.8275
1688210,56.25,55.64,37.5,48.3825
1688225,75.75,74.83,57.5,67.8975
1688270,85.625,84.61,90,86.76625
1688277,66.75,66.01,80,71.6075
1688280,95.875,95.68,100,97.40875
1688362,65.625,63.54,55,60.12625
1688586,65.625,64.81,50,58.88625
1688612,85,84.82,85,84.89
1688654,92.25,90.97,100,94.5825
1688726,95.375,94.34,100,96.60375
1688861,94.25,93.94,100,96.3625
1688914,74.875,74.8,90,80.87875
1688927,47.5,47.66,97.5,67.595
1689042,51,50.98,90,66.59
1689116,97,95.88,60,81.53
1689150,81.5,79.96,77.5,78.975
1689344,90,89.23,100,93.54
1689526,10.625,11.16,0,6.69625
1689571,89.75,88.46,60,77.0775
1689614,99.125,97.57,100,98.54125
1689679,87.25,85.89,75,81.5325
1689762,59.375,59.21,35,49.52375
1689828,89.125,87.94,100,92.76125
1689848,87.875,86.28,65,77.76875
1689935,98.5,97.11,100,98.265
1689939,93.25,93.39,100,96.0325
1690024,55.125,54.7,42.5,49.82125
1690113,96.5,95.28,94.5,94.965
1690303,78.5,76.71,100,86.025
1690367,99.875,99.28,100,99.56875
1690411,73.25,72.12,77.5,74.2725
1690459,0,0,0,0
1690470,87.625,87.11,50,72.26625
1690569,78,76.5,95,83.9
1690594,53.875,55.11,100,73.06875
1690786,82.875,82.2,100,89.31875
1690805,54.625,54.56,37.5,47.73625
1690837,74.375,73.59,90,80.15375
1691017,98.75,97.88,87.5,93.7275
1691158,12.5,14.54,17.5,15.725
1691402,95.25,93.75,100,96.2525
1691441,95.25,93.02,97.5,94.8125
1691561,85,83.88,100,90.33
1691567,85.875,84.51,87.5,85.70875
1691731,97,96.55,95,95.93
1691786,97.5,95.89,100,97.535
1691787,95.625,95.38,100,97.22625
1691788,0,1.867,20,9.12
1691800,60.25,60.5,87.5,71.3025
1691824,77,77.42,100,86.45
1692009,57.875,57.85,50,54.70875
1692085,95.5,93.26,87.5,90.955
1692088,98,97.43,100,98.46
1692166,87.5,87.13,100,92.275
1692194,83.125,81.24,85,82.74125
1692420,68.125,67.65,67.5,67.59125
1692765,7.625,8.244,87.5,39.94625
1692772,66.25,65.47,45,57.2825
1692773,81.625,80.81,100,88.48625
1692776,40.875,40.63,60,48.37875
1692871,73.5,72.16,75,73.295
1692937,95.75,93.9,75,86.3375
1692943,90.125,89.29,100,93.57125
1692966,98.75,97.48,100,98.4875
1693145,74.25,74,85,78.4025
1693296,29.5,30.96,35,32.575
1693309,84.375,82.89,100,89.73375
1693533,55.5,55.46,77.5,64.275
1693663,75,75.12,45,63.07
1693713,71.625,70.98,75,72.58625
