CSC Quizes
PeopleSoft Number,Q1,Q2,Q3,Q4,Q5,Q6
,15,15,15,15,15,15
1212393,15,10,4,8,6,9
1261168,15,7,2,9,9,11
1338826,15,13,0,6,3,10
1401762,0,8,0,7,4,9
1418638,0,7,4,0,0,0
1440606,0,0,0,12,4,11
1451426,15,7,4,7,8,6
1461598,0,12,0,0,0,0
1482290,15,7,5,8,4,4
1487095,0,12,0,0,0,0
1504677,15,7,2,5,0,7
1507118,12,12,2,14,4,8
1507406,12,5,2,4,4,8
1507469,0,13,7,0,0,0
1508476,15,7,7,9,4,8
1511703,0,12,0,11,0,0
1513004,0,12,0,0,0,0
1513683,0,12,0,3,0,0
1515212,15,12,4,4,5,9
1515929,9,10,0,6,3,0
1518493,12,15,6,8,5,4
1519896,0,7,0,4,0,0
1521118,12,5,5,0,6,7
1521952,0,10,0,6,4,0
1522873,15,8,0,0,7,7
1522954,15,8,4,0,8,6
1537529,15,13,2,8,3,8
1538088,15,9,10,11,7,10
1538570,12,7,8,8,9,10
1539501,12,7,11,9,3,8
1539540,15,15,7,11,9,6
1542303,15,7,8,13,10,11
1543876,0,12,0,0,0,0
1551318,0,12,0,0,0,0
1553284,9,13,7,11,8,12
1553551,15,12,2,9,6,7
1554643,12,15,10,8,8,11
1559646,15,11,10,8,7,4
1560044,0,12,4,3,0,8
1560119,15,12,0,5,6,0
1560971,15,10,5,12,2,6
1561153,0,12,7,11,9,12
1562842,9,12,15,3,7,11
1567265,0,12,0,0,0,0
1567864,0,0,0,7,0,0
1581486,0,12,9,10,6,6
1581834,12,12,7,9,10,10
1582585,15,10,6,9,2,11
1583053,12,10,5,6,4,9
1583408,0,12,0,0,0,0
1584012,15,12,9,6,8,10
1584185,12,7,4,3,6,12
1585571,6,12,0,6,0,0
1585592,0,7,0,0,0,8
1585689,12,5,2,7,2,9
1586487,0,12,0,11,8,7
1587179,12,7,4,12,0,0
1587474,15,11,4,8,13,9
1587867,15,8,2,2,4,12
1587930,9,7,10,8,8,11
1590593,15,12,8,6,6,9
1590989,15,10,2,8,0,9
1591228,0,0,0,0,0,0
1591807,12,13,0,5,3,6
1592563,12,13,4,5,0,0
1593035,0,0,0,0,0,0
1593724,12,10,4,0,0,0
1595458,9,7,0,0,0,0
1595531,15,15,7,10,12,0
1596316,0,0,0,0,0,0
1596529,15,12,4,2,5,7
1597559,15,7,2,7,4,6
1599343,0,7,8,9,10,0
1601210,12,9,7,7,6,0
1602135,0,11,7,0,6,0
1602529,15,13,10,10,9,11
1604638,9,10,6,15,6,11
1605463,15,5,5,0,7,4
1606980,0,0,0,0,0,0
1608156,0,12,0,8,4,9
1608492,15,12,0,7,4,0
1608822,15,12,2,9,4,8
1610225,12,9,7,8,7,9
1612767,0,12,0,0,0,7
1613386,15,5,0,0,0,0
1613772,9,7,5,5,6,7
1615188,12,15,13,12,10,11
1615929,12,4,5,4,3,9
1616387,12,15,5,7,10,9
1616832,12,9,7,8,7,0
1616888,12,10,7,8,0,7
1617552,9,7,5,10,6,10
1617755,0,12,10,3,8,0
1618636,15,12,2,3,5,8
1632659,15,12,8,8,5,8
1632775,15,8,9,10,6,10
1633087,15,10,7,6,4,6
1633273,0,0,0,0,0,0
1633328,12,13,6,8,2,4
1633456,15,7,2,1,6,9
1633740,12,5,2,7,5,8
1633741,12,13,6,15,12,13
1633841,9,7,4,8,7,10
1633879,15,10,10,7,7,12
1634080,15,13,10,9,6,13
1634997,12,12,0,6,4,11
1635029,0,12,0,0,0,0
1635037,15,12,0,9,5,8
1635206,12,13,5,5,0,10
1635461,9,10,2,12,5,6
1635468,12,0,0,0,0,0
1635618,15,4,2,5,6,9
1635914,15,7,2,3,5,9
1636341,15,13,6,8,0,0
1636482,0,12,5,8,8,10
1636544,12,15,7,2,1,9
1636833,9,9,4,6,3,9
1637291,15,7,2,4,10,8
1637597,15,15,7,11,7,9
1637649,15,8,4,5,10,8
1637903,12,5,2,7,6,7
1638374,15,8,8,6,7,14
1638446,0,7,4,5,5,9
1638489,12,9,3,13,8,0
1638626,12,6,2,4,3,7
1638832,9,7,8,11,9,0
1638974,0,15,8,2,7,0
1639601,15,5,5,7,3,10
1640427,9,8,2,11,4,7
1640539,0,0,0,5,4,6
1640634,9,12,2,8,11,7
1640726,12,12,6,7,5,0
1641606,12,8,2,15,7,8
1641841,9,12,2,0,0,8
1641947,15,10,6,4,5,0
1642033,12,15,9,9,3,10
1642093,15,15,15,15,11,15
1642413,9,12,2,3,0,0
1642556,12,12,6,10,9,7
1642780,12,8,7,3,4,9
1643046,0,0,0,0,0,0
1643217,9,5,4,6,0,0
1643487,9,8,2,11,4,10
1643769,12,8,8,12,7,12
1643852,15,7,4,4,4,0
1644378,12,10,4,11,9,9
1644816,0,15,2,3,3,9
1645089,12,10,2,6,9,0
1645144,15,10,2,6,9,8
1645562,9,8,4,3,5,5
1646322,12,10,2,9,4,8
1646505,15,5,4,10,9,9
1646730,0,12,0,0,6,0
1646746,15,8,5,9,0,0
1646880,15,10,6,9,4,10
1647028,12,9,2,10,7,5
1647497,12,15,15,11,11,12
1647863,15,10,2,8,5,8
1648009,0,10,2,3,0,0
1648901,9,13,4,9,10,10
1649022,15,12,4,8,5,9
1649093,9,15,12,12,10,9
1649154,0,0,0,13,10,10
1649269,12,7,0,0,6,5
1649696,15,10,8,7,0,10
1649837,15,12,4,7,3,10
1650811,15,12,3,12,0,12
1650850,9,10,2,7,10,9
1650915,9,4,4,7,6,9
1651191,12,8,3,13,5,13
1651532,9,15,2,9,4,11
1651780,0,0,0,0,0,0
1652135,12,5,5,7,4,10
1652214,12,10,2,5,8,8
1652231,9,10,8,8,6,9
1652356,9,10,5,0,4,6
1654400,9,11,4,10,4,12
1654418,9,5,4,7,3,7
1654547,15,12,4,6,10,7
1654734,15,8,2,5,8,8
1655124,15,10,8,5,1,5
1655334,12,7,6,0,7,0
1655407,9,15,2,11,9,9
1656591,12,9,4,6,8,8
1656696,15,7,5,11,6,9
1656707,15,15,2,11,9,5
1656925,0,0,0,4,0,0
1657048,0,12,4,0,0,7
1657058,9,3,2,2,6,5
1657135,12,5,2,8,6,8
1657562,12,7,0,7,6,9
