CSC3003S Exam 2019
PeopleSoft Number,Mark
,100
1263729,DPR
1347222,69
1401272,53
1433595,50
1449029,DPR
1449369,69
1463012,46
1463354,DPR
1465470,45
1466698,46
1468336,DPR
1468819,50
1469157,DPR
1469964,47
1476457,53
1485392,50
1489019,58
1500377,46
1500421,57
1501536,25
1502758,38
1503437,DPR
1503852,49
1504954,54
1509984,52
1510685,45
1511154,DPR
1512396,56
1512765,55
1513508,62
1518728,49
1521254,DPR
1523318,48
1524217,DPR
1526759,71
1527052,DPR
1528168,55
1537480,56
1537795,56
1537915,67
1538055,65
1538134,70
1538186,47
1538871,66
1539416,57
1539574,70
1540071,45
1541791,50
1541829,75
1542098,70
1542664,62
1542677,51
1542819,55
1542963,51
1542969,64
1543348,59
1543534,69
1543822,71
1544200,64
1545981,47
1546115,62
1546756,22
1546892,54
1547215,69
1547340,59
1547845,50
1548590,60
1550042,DPR
1550060,72
1550717,53
1551110,60
1551564,66
1552807,48
1553911,31
1554947,50
1555679,77
1555735,49
1558304,51
1558388,57
1559644,75
1560107,47
1560366,43
1562396,42
1562591,78
1562971,41
1564073,73
1565627,41
1565951,51
1566345,DPR
1581543,85
1581702,81
1581707,74
1582157,66
1582243,55
1582582,84
1582922,74
1582955,62
1582987,73
1583126,61
1583345,58
1583376,50
1583590,54
1583731,83
1583743,48
1583978,76
1584140,64
1584398,86
1584548,71
1584600,54
1585186,69
1585403,66
1585485,72
1585486,52
1585648,57
1585679,68
1585849,51
1586206,90
1586220,81
1586390,90
1586661,63
1586911,68
1587165,55
1587639,52
1588134,59
1588180,83
1588192,62
1588279,62
1588794,58
1588885,90
1589079,53
1589616,74
1590279,63
1590556,56
1590731,66
1591248,75
1591310,80
1591351,61
1591416,51
1591738,59
1591802,50
1592207,79
1592322,86
1592326,47
1592421,65
1593091,63
1593569,47
1593768,74
1593769,81
1593957,50
1594498,66
1596350,46
1596803,68
1597021,48
1597362,57
1597663,82
1597938,74
1598015,79
1598224,73
1598249,59
1598336,70
1598906,71
1598996,72
1599039,83
1599055,86
1599778,22
1599784,66
1600618,41
1601076,78
1602222,50
1603393,46
1603537,68
1604906,DPR
1607134,73
1607353,59
1607625,74
1607834,64
1609091,43
1612247,87
1615124,51
1616850,51
1617645,59
