STA1006S Exam 2019
PeopleSoft Number,Mark
,100
1401762,58
1479249,24
1501728,83
1544621,78
1547087,35
1551414,77
1554907,56
1581291,60
1582787,71
1583917,85
1586990,45
1590996,56
1591070,40
1602529,78
1608953,19
1632318,62
1634191,80
1635214,40
1635437,72
1635583,74
1636295,42
1636512,65
1636833,45
1637159,47
1638636,77
1639590,72
1640408,51
1640587,56
1641319,53
1643393,80
1643861,50
1643943,59
1645075,84
1646391,69
1648009,53
1650849,47
1650850,40
1658126,71
1661331,57
1661373,73
1661460,56
1663700,48
1666474,83
1666669,39
1668418,50
1668771,76
1669342,62
1673082,74
1673310,62
1674286,22
1684715,62
1684718,47
1684783,65
1684787,65
1684805,94
1685082,74
1685094,85
1685141,70
1685142,68
1685240,74
1685383,94
1685416,82
1685490,24
1685547,9
1685575,58
1685612,96
1685633,79
1685842,34
1685860,37
1685862,81
1685875,41
1686484,83
1686596,45
1686611,91
1686918,77
1686923,78
1686998,60
1687025,20
1687047,56
1687076,91
1687199,78
1687239,84
1687248,91
1687303,86
1687381,68
1687438,51
1687522,29
1687899,57
1687966,65
1688033,13
1688048,60
1688058,86
1688180,92
1688197,57
1688204,45
1688244,82
1688355,29
1688434,66
1688459,54
1688689,83
1688724,63
1688803,47
1688811,55
1688914,74
1688942,20
1689043,50
1689116,58
1689539,67
1689547,82
1689646,79
1689848,69
1689939,75
1689953,39
1689986,59
1690087,62
1690140,54
1690174,55
1690247,75
1690293,91
1690295,46
1690418,34
1690464,24
1690768,16
1690843,41
1690998,58
1691167,83
1691366,42
1691561,82
1691786,68
1691861,45
1691881,89
1691995,70
1692009,42
1692058,65
1692088,85
1692156,62
1692166,74
1692330,38
1692455,40
1692656,24
1692718,51
1692765,42
1692871,50
1692961,80
1693087,65
1693289,37
1693295,45
1693527,73
1693533,48
1693668,61
1693907,67
1693954,22
1693958,65
1693968,57
1694282,75
1694522,61
1695932,26
1696007,42
1696135,82
1696154,64
1696250,59
1696255,78
1696395,79
1696550,51
1696709,61
1696769,77
1696800,76
1696950,36
1696998,73
1697077,67
1697163,76
1697511,47
1697586,16
1698039,89
1698262,83
1698424,34
1698490,61
1698807,79
1698983,50
1699151,51
1699402,40
1699457,67
1699512,43
1700098,82
1700288,61
1700620,96
1700674,11
1700701,63
1700792,50
1701719,56
1702365,79
1703006,45
1703345,67
1703808,67
1703901,41
1704035,78
1704084,25
1704165,74
1704569,84
1704729,51
1704884,79
1705038,88
1705253,42
1705518,55
1707724,78
1707919,41
1708108,61
1708176,63
1708499,21
1708548,40
1708838,58
1708856,68
1708941,26
1710106,63
1710575,63
1711127,20
1711245,43
1711561,74
1711742,47
1712775,48
1713382,50
1714017,65
1715004,15
1715563,79
1715981,15
1716599,78
1716863,75
1717344,59
1717886,32
1717958,54
1717987,24
1718007,50
1719046,73
1719336,69
1719540,67
1720061,50
1720085,48
1721029,54
1721386,56
1721756,80
1721910,31
1722325,59
1722971,48
1723069,87
1723445,38
1723662,60
1724157,26
1724263,69
1724370,26
1724397,88
1725105,88
1725925,22
1726166,60
1726735,47
1726816,66
1727185,81
1727440,51
1732978,63
