100, STA Class Mark
1708176,,42
1699512,,53
1507568,,7
1501728,,83
1688180,,86
1634191,,63
1661460,,52
1685541,,45
1704884,,72
1689986,,50
1685842,,28
1697163,,82
1707724,,76
1666669,,54
1693668,,43
1699151,,52
1649083,,32
1687199,,76
1705253,,45
1696769,,66
1596316,,20
1697586,,19
1688197,,64
1668771,,73
1701719,,41
1690418,,23
1694522,,61
1702365,,72
1684805,,87
1583917,,71
1639590,,68
1690295,,43
1688204,,43
1723069,,77
1717344,,53
1612767,,70
1693907,,55
1693533,,57
1705038,,87
1685490,,37
1703345,,54
1685860,,35
1638636,,74
1721756,,72
1582787,,80
1685082,,82
1693527,,64
1700674,,16
1401762,,50
1692765,,34
1674286,,39
1700098,,74
1691995,,56
1673310,,53
1686852,,30
1687522,,31
1696395,,70
1704569,,78
1689953,,46
1636512,,47
1685383,,88
1707919,,44
1716863,,77
1708856,,54
1704111,,24
1632318,,59
1696007,,34
1686484,,66
1666474,,71
1662166,,18
1636833,,36
1721029,,60
1693968,,40
1643393,,71
1690998,,58
1650850,,41
1703808,,55
1692656,,25
1719336,,67
1636295,,41
1688434,,60
1693958,,52
1608953,,17
1685142,,51
1643943,,50
1722971,,37
1685094,,74
1685633,,77
1688942,,22
1602529,,71
1718007,,43
1692058,,51
1479249,,22
1722325,,48
1694282,,78
1689848,,58
1703006,,22
1687966,,49
1691366,,49
1554907,,62
1692718,,46
1685141,,51
1698807,,71
1705518,,40
1708499,,16
1686998,,49
1717886,,26
1693954,,20
1698039,,81
1689939,,60
1708838,,65
1689539,,53
1709767,,2
1688811,,51
1668418,,40
1661331,,38
1715981,,10
1693289,,31
1723445,,38
1715004,,15
1637159,,39
1648009,,58
1640587,,45
1407441,,10
1688803,,52
1690843,,34
1687381,,60
1673082,,74
1596782,,26
1724263,,66
1719540,,65
1663700,,52
1716599,,81
1688459,,40
1687957,,24
1714017,,53
1655936,,0
1692455,,41
1544621,,63
1590996,,57
1693087,,61
1726816,,58
1716010,,23
1635583,,69
1684872,,36
1687303,,84
1690464,,26
1687899,,42
1687239,,70
1696950,,38
1692088,,73
1691861,,45
1704084,,20
1685370,,22
1727440,,43
1685875,,37
1692871,,50
1711742,,40
1635437,,50
1721386,,44
1710575,,69
1708548,,41
1696550,,44
1723662,,53
1686611,,92
1689646,,73
1685575,,49
1708108,,39
1669342,,51
1689043,,43
1688689,,70
1696255,,74
1645075,,78
1661373,,69
1696250,,48
1690768,,26
1686596,,40
1685240,,44
1689116,,59
1688033,,14
1692330,,29
1717987,,22
1650849,,48
1708941,,17
1703901,,33
1700792,,63
1713382,,58
1700288,,64
1642320,,13
1715563,,71
1641319,,50
1673284,,23
1684715,,51
1527031,,27
1643861,,46
1688355,,29
1565616,,14
1719046,,44
1704165,,82
1688058,,76
1711245,,44
1711127,,25
1698983,,35
1687076,,92
1693295,,29
1726166,,56
1581291,,59
1692166,,62
1724397,,75
1711561,,57
1635214,,42
1690087,,60
1687025,,13
1586990,,42
1646391,,72
1691167,,67
1685612,,94
1581553,,38
1689547,,77
1697077,,77
1684783,,46
1647029,,61
1685862,,80
1725105,,68
1713591,,5
1686923,,79
1690174,,50
1686918,,76
1724370,,27
1687248,,83
1698424,,30
1688724,,64
1687047,,59
1658126,,62
1688048,,55
1710106,,49
1684787,,56
1727185,,61
1726735,,43
1551414,,68
1696709,,53
1697511,,46
1691561,,73
1704035,,64
1721910,,43
1699402,,38
1720061,,48
1684718,,48
1591070,,36
1692009,,38
1692961,,64
1695932,,23
1685547,,13
1692156,,44
1640408,,51
1691881,,87
1724157,,25
1696800,,63
1687438,,43
1712775,,39
1690293,,92
1690247,,70
1592007,,0
1688244,,71
1687111,,12
1701144,,26
1698490,,52
1698262,,85
1685416,,67
1720085,,46
1732978,,62
1691786,,60
1696998,,55
1725925,,21
1696135,,53
1711704,,8
1700620,,92
1688914,,61
1633273,,0
1704729,,40
1699457,,56
1700701,,46
1690140,,42
1696154,,47
1717958,,42
1547087,,47
