PeopleSoft Number,A1,A2,A3,A4,A5,A6,A7,A9,A10,Practical Assignment Average,Q1,Q2,Q3,Q4,Q5,Q6,Quiz Average,Assignment Average,PT1,PT2,Practical Test Average,Practical Average
1212393,100,100,100,100,97,85,29,70,100,94,15,10,4,8,6,9,64,92.5,70,60,65,81.5
1261168,100,98,90,48,81,81,18,0,0,64.5,15,7,2,9,9,11,68,64.68,75,75,75,68.805
1338826,100,43,15,0,68,18,23,56,0,40.375,15,13,0,6,3,10,63,41.49,0,0,0,24.89375
1401762,0,0,0,0,44,100,2,0,0,18.25,0,8,0,7,4,9,37,19.2,30,0,15,17.5225
1418638,0,0,0,0,0,0,0,0,0,0,0,7,4,0,0,0,15,0.733,0,0,0,0.44
1440606,10,0,54,26,80,20,61,74,15,42.5,0,0,0,12,4,11,36,42.18,55,100,77.5,56.305
1451426,80,90,90,72,44,81,100,51,90,81.75,15,7,4,7,8,6,57,80.53,75,90,82.5,81.3175
1461598,70,0,0,0,55,70,65,73,10,42.875,0,12,0,0,0,0,16,41.53,0,60,30,36.91875
1482290,100,72,60,43,0,0,0,0,0,34.375,15,7,5,8,4,4,52,35.26,80,75,77.5,52.15375
1487095,0,0,60,21,78,81,100,74,85,62.375,0,12,0,0,0,0,16,60.06,0,100,50,56.03375
1504677,100,91,100,57,70,100,90,75,0,85.375,15,7,2,5,0,7,48,83.51,70,75,72.5,79.10375
1507118,100,74,79,84,0,0,0,0,0,42.125,12,12,2,14,4,8,67,43.35,100,67,83.5,59.41125
1507406,100,38,75,74,90,81,100,40,5,74.75,12,5,2,4,4,8,44,73.21,55,0,27.5,54.9275
1507469,100,85,100,31,0,100,0,0,0,52,0,13,7,0,0,0,27,50.73,100,75,87.5,65.44
1508476,100,100,100,96,88,50,96,0,0,78.75,15,7,7,9,4,8,61,77.88,100,60,80,78.7275
1511703,100,88,50,40,76,85,60,100,77,79.5,0,12,0,11,0,0,31,77.06,70,0,35,60.235
1513004,65,70,100,99,68,100,48,0,0,68.75,0,12,0,0,0,0,16,66.11,70,60,65,65.6675
1513683,50,0,0,0,0,0,0,0,0,6.25,0,12,0,3,0,0,20,6.938,75,0,37.5,19.1625
1515212,100,100,75,65,93,85,96,83,90,90.25,15,12,4,4,5,9,60,88.74,70,20,45,71.2425
1515929,70,27,70,87,0,81,48,0,59,55.25,9,10,0,6,3,0,37,54.35,100,75,87.5,67.6125
1518493,100,91,100,76,0,83,60,0,95,75.625,12,15,6,8,5,4,61,74.91,90,90,90,80.94625
1519896,90,76,90,0,0,0,0,0,0,32,0,7,0,4,0,0,15,31.13,70,0,35,32.68
1521118,85,58,95,0,31,100,70,50,98,73.375,12,5,5,0,6,7,47,72.04,0,50,25,53.22375
1521952,90,30,0,0,0,0,0,0,5,15.625,0,10,0,6,4,0,27,16.18,70,50,60,33.70625
1522873,80,67,40,83,48,96,76,72,52,71.75,15,8,0,0,7,7,49,70.63,25,0,12.5,47.3775
1522954,100,100,85,26,70,50,0,0,0,53.875,15,8,4,0,8,6,55,53.91,95,75,85,66.34875
1537529,90,76,50,0,0,90,100,98,83,73.375,15,13,2,8,3,8,63,72.84,75,33,54,65.30375
1538088,100,100,100,100,84,100,100,60,0,93,15,9,10,11,7,10,73,92.02,75,100,87.5,90.21
1538570,100,100,100,100,94,100,100,0,27,90.125,12,7,8,8,9,10,63,88.75,100,100,100,93.25125
1539501,100,87,70,44,55,62,0,0,0,52.25,12,7,11,9,3,8,63,52.77,70,60,65,57.6625
1539540,100,45,20,0,0,0,0,0,0,20.625,15,15,7,11,9,6,76,23.39,70,0,35,28.03625
1542303,100,76,85,62,55,50,100,0,92,77.5,15,7,8,13,10,11,76,77.43,70,40,55,68.455
1543876,100,0,0,0,0,88,100,95,96,59.875,0,12,0,0,0,0,16,57.68,50,40,45,52.60875
1551318,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,16,0.8,0,0,0,0.48
1553284,100,100,100,100,100,77,79,0,0,82,9,13,7,11,8,12,71,81.43,100,75,87.5,83.86
1553551,100,100,100,68,73,50,79,64,16,79.25,15,12,2,9,6,7,65,78.55,60,0,30,59.1325
1554643,100,100,100,94,89,95,96,87,95,96.125,12,15,10,8,8,11,75,95.05,60,20,40,73.03125
1559646,0,0,0,0,0,0,0,0,0,0,15,11,10,8,7,4,68,3.4,17,0,8.5,5.44
1560044,0,5,70,51,63,0,4,0,0,24.125,0,12,4,3,0,8,36,24.72,100,60,80,46.83125
1560119,0,0,45,31,0,95,80,0,100,43.875,15,12,0,5,6,0,51,44.21,70,80,75,56.52875
1560971,100,100,100,21,95,68,49,85,0,77.25,15,10,5,12,2,6,64,76.59,95,90,92.5,82.9525
1561153,65,46,65,31,47,83,29,65,0,53.875,0,12,7,11,9,12,68,54.58,80,67,73.5,62.14875
1562842,80,100,100,100,49,100,100,0,0,78.625,9,12,15,3,7,11,72,78.29,70,100,85,80.97625
1567265,0,35,0,0,0,0,0,0,0,4.375,0,12,0,0,0,0,16,4.956,0,0,0,2.97375
1567864,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,9.3,0.467,75,100,87.5,35.28
1581486,95,0,50,0,68,50,90,0,0,44.125,0,12,9,10,6,6,57,44.79,100,100,100,66.87125
1581834,100,91,100,59,70,50,28,0,0,62.25,12,12,7,9,10,10,71,62.67,70,100,85,71.6025
1582585,90,0,0,0,0,40,75,0,0,25.625,15,10,6,9,2,11,68,27.74,45,23,34,30.24625
1583053,65,83,70,0,83,40,70,85,0,62,12,10,5,6,4,9,56,61.7,55,50,52.5,58.02
1583408,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,16,0.8,0,0,0,0.48
1584012,70,84,30,56,59,24,90,88,45,65.25,15,12,9,6,8,10,72,65.59,60,100,80,71.3525
1584185,100,56,85,85,61,78,33,100,7,74.75,12,7,4,3,6,12,55,73.75,70,80,75,74.2475
1585571,100,52,90,89,68,45,0,0,0,55.5,6,12,0,6,0,0,32,54.33,100,0,50,52.595
1585592,0,0,0,94,70,90,90,0,0,43,0,7,0,0,0,8,20,41.85,0,30,15,31.11
1585689,100,72,95,0,70,50,65,95,0,68.375,12,5,2,7,2,9,47,67.29,75,75,75,70.37375
1586487,0,0,0,0,0,0,0,0,0,0,0,12,0,11,8,7,51,2.533,55,0,27.5,12.52
1587179,100,100,100,95,86,100,24,95,0,87.5,12,7,4,12,0,0,47,85.46,100,100,100,91.275
1587474,100,100,100,50,81,50,100,0,0,72.625,15,11,4,8,13,9,75,72.73,70,60,65,69.63625
1587867,100,84,80,100,91,92,100,45,15,86.5,15,8,2,2,4,12,55,84.91,40,0,20,58.945
1587930,100,100,100,98,95,100,70,0,0,82.875,9,7,10,8,8,11,61,81.8,100,100,100,89.07875
